페이지,투표소,유형,이재명_a,이재명_b,이재명_계,김문수_a,김문수_b,김문수_계,이준석_a,이준석_b,이준석_계,권영국_a,권영국_b,권영국_계,송진호_a,송진호_b,송진호_계,무효_a,무효_b,무효_계
64,연서면제2투,Yeonseo-myeon Precinct 2,114,5,119,173,3,176,11,0,11,3,0,3,0,0,0,0,4,4
65,연서면제3투,Yeonseo-myeon Precinct 3,89,5,94,230,1,231,9,0,9,0,0,0,0,0,0,0,2,2
66,연서면제4투,Yeonseo-myeon Precinct 4,426,17,443,709,14,723,92,3,95,11,0,11,3,0,3,0,20,20
67,전의면제1투,Jeonui-myeon Precinct 1,206,3,209,453,1,454,25,3,28,2,1,3,1,0,1,0,5,5
68,전의면제2투,Jeonui-myeon Precinct 2,228,4,232,476,13,489,31,1,32,3,1,4,0,0,0,0,5,5
69,전의면제3투,Jeonui-myeon Precinct 3,99,4,103,198,4,202,15,0,15,3,1,4,0,0,0,0,2,2
70,전동면제1투,Jeondong-myeon Precinct 1,147,6,153,303,12,315,28,1,29,1,0,1,0,0,0,0,4,4
71,전동면제2투,Jeondong-myeon Precinct 2,84,2,86,152,6,158,11,0,11,0,0,0,1,0,1,0,1,1
72,기전역,Gijeon Station,72,4,76,178,7,185,8,0,8,0,0,0,0,0,0,0,1,1
73,소정면제1투,Sojeong-myeon Precinct 1,181,1,182,442,11,453,32,1,33,7,1,8,1,1,2,0,5,5
74,한솔동제1투,Hansol-dong Precinct 1,814,12,826,631,7,638,191,1,192,15,1,16,0,0,0,0,11,11
75,한솔동제2투,Hansol-dong Precinct 2,674,8,682,525,6,531,119,3,122,13,1,14,0,0,0,0,6,6
76,한솔동제3투,Hansol-dong Precinct 3,581,3,584,552,2,554,117,1,118,15,1,16,2,0,2,0,12,12
77,한솔동제4투,Hansol-dong Precinct 4,703,7,710,778,2,780,176,2,178,24,0,24,1,0,1,0,20,20
78,도담동제1투,Dodam-dong Precinct 1,413,3,416,411,7,418,151,3,154,10,0,10,0,0,0,0,14,14
79,도담동제2투,Dodam-dong Precinct 2,436,28,464,640,33,673,85,0,85,25,0,25,0,0,0,0,19,19
80,도담동제3투,Dodam-dong Precinct 3,1087,6,1093,1195,12,1207,252,1,253,27,0,27,2,0,2,0,17,17
81,도담동제4투,Dodam-dong Precinct 4,642,3,645,541,12,553,137,2,139,25,0,25,0,0,0,0,6,6
82,도담동제5투,Dodam-dong Precinct 5,708,9,717,784,17,801,154,1,155,21,1,22,1,0,1,0,9,9
83,아름동제1투,Areum-dong Precinct 1,844,5,849,599,15,614,212,3,215,25,0,25,0,0,0,0,12,12
84,아름동제2투,Areum-dong Precinct 2,721,9,730,551,6,557,112,4,116,12,0,12,3,0,3,0,10,10
85,아름동제3투,Areum-dong Precinct 3,899,17,916,743,14,757,142,4,146,22,0,22,1,0,1,0,17,17
86,아름동제4투,Areum-dong Precinct 4,1177,15,1192,722,20,742,194,1,195,41,0,41,2,0,2,0,18,18
87,종촌동제1투,Jongchon-dong Precinct 1,840,10,850,647,7,654,160,3,163,19,0,19,2,0,2,0,9,9
88,종촌동제2투,Jongchon-dong Precinct 2,450,3,453,387,10,397,79,1,80,15,0,15,0,0,0,0,9,9
89,종촌동제3투,Jongchon-dong Precinct 3,968,7,975,741,7,748,160,4,164,20,0,20,3,0,3,0,15,15
90,종촌동제4투,Jongchon-dong Precinct 4,671,9,680,596,13,609,124,3,127,19,1,20,2,0,2,0,5,5
91,종촌동제1투,Jongchon-dong Precinct 1,697,11,708,753,23,776,150,2,152,17,0,17,1,0,1,0,7,7
92,종촌동제2투,Jongchon-dong Precinct 2,406,14,420,532,17,549,97,3,100,17,0,17,2,0,2,0,10,10
93,고운동제1투,Goun-dong Precinct 1,1215,51,1266,1029,64,1093,216,6,222,22,1,23,1,0,1,0,22,22
94,고운동제2투,Goun-dong Precinct 2,1426,11,1437,1155,19,1174,275,5,280,20,1,21,3,0,3,0,22,22
95,고운동제3투,Goun-dong Precinct 3,686,9,695,597,45,642,108,3,111,14,0,14,1,0,1,0,8,8
96,고운동제4투,Goun-dong Precinct 4,1131,11,1142,794,14,808,178,2,180,32,1,33,0,0,0,0,10,10
97,고운동제5투,Goun-dong Precinct 5,862,17,879,782,11,793,137,2,139,19,0,19,0,0,0,0,10,10
98,보람동제1투,Boram-dong Precinct 1,1095,14,1109,877,10,887,172,3,175,18,0,18,1,0,1,0,10,10
99,보람동제2투,Boram-dong Precinct 2,713,4,717,753,10,763,148,2,150,10,1,11,0,0,0,0,9,9
100,보람동제3투,Boram-dong Precinct 3,879,48,927,943,42,985,237,2,239,31,0,31,5,0,5,0,19,19
101,새롬동제1투,Saerom-dong Precinct 1,532,8,540,623,7,630,149,1,150,17,0,17,0,0,0,0,8,8
102,새롬동제2투,Saerom-dong Precinct 2,1005,8,1013,950,12,962,222,3,225,18,0,18,2,0,2,0,12,12
103,새롬동제3투,Saerom-dong Precinct 3,1100,17,1117,907,15,922,191,1,192,31,0,31,3,0,3,0,17,17
104,새롬동제4투,Saerom-dong Precinct 4,939,9,948,821,6,827,205,1,206,37,0,37,4,0,4,0,17,17
105,대평동제1투,Daepyeong-dong Precinct 1,740,7,747,797,11,808,182,5,187,17,0,17,2,0,2,0,12,12
106,대평동제2투,Daepyeong-dong Precinct 2,691,14,705,775,10,785,150,2,152,15,0,15,1,0,1,0,14,14
107,소담동제1투,Sodam-dong Precinct 1,735,6,741,640,10,650,134,9,143,20,1,21,2,0,2,0,13,13
108,소담동제2투,Sodam-dong Precinct 2,855,2,857,730,7,737,186,1,187,18,2,20,0,0,0,0,7,7
109,소담동제3투,Sodam-dong Precinct 3,736,3,739,698,10,708,178,1,179,17,0,17,1,0,1,0,12,12
110,소담동제4투,Sodam-dong Precinct 4,634,3,637,667,8,675,144,1,145,21,0,21,1,0,1,0,12,12
111,단찬동제1투,Danchan-dong Precinct 1,1058,17,1075,868,11,879,232,4,236,40,1,41,1,0,1,0,22,22
112,단찬동제2투,Danchan-dong Precinct 2,816,6,822,806,8,814,206,4,210,30,2,32,2,0,2,0,15,15
113,단찬동제3투,Danchan-dong Precinct 3,1123,9,1132,1033,9,1042,227,5,232,27,1,28,2,0,2,0,10,10
114,단찬동제4투,Danchan-dong Precinct 4,748,12,760,912,15,927,181,2,183,22,0,22,1,0,1,0,14,14
115,행복동제1투,Haengbok-dong Precinct 1,1279,27,1306,971,13,984,284,4,288,45,6,51,3,0,3,0,21,21
116,행복동제2투,Haengbok-dong Precinct 2,1179,25,1204,748,22,770,222,4,226,26,0,26,2,0,2,0,11,11
117,행복동제3투,Haengbok-dong Precinct 3,973,10,983,648,22,670,218,2,220,26,1,27,2,1,3,0,9,9
118,반곡동제1투,Bangok-dong Precinct 1,1126,7,1133,927,6,933,253,3,256,39,0,39,1,0,1,0,24,24
119,반곡동제2투,Bangok-dong Precinct 2,825,5,830,819,2,821,252,2,254,30,1,31,1,0,1,0,24,24
120,반곡동제3투,Bangok-dong Precinct 3,1257,9,1266,755,8,763,252,5,257,24,1,25,2,0,2,0,13,13
121,반곡동제4투,Bangok-dong Precinct 4,1046,22,1068,763,15,778,313,6,319,39,0,39,5,0,5,0,17,17
122,아진동제1투,Ajin-dong Precinct 1,662,0,662,617,3,620,178,1,179,46,1,47,1,0,1,0,19,19
123,아진동제2투,Ajin-dong Precinct 2,834,11,845,772,11,783,252,8,260,37,12,49,0,0,0,0,17,17
124,나성동제1투,Naseong-dong Precinct 1,819,12,831,768,11,779,220,6,226,24,0,24,1,0,1,0,14,14
125,나성동제2투,Naseong-dong Precinct 2,777,6,783,702,4,706,192,1,193,32,0,32,3,0,3,0,6,6
